Council Districts,Median Income
1,"38,673.58"
10,"36,242.69"
11,"82,595.81"
12,"66,792.32"
13,"39,267.94"
14,"38,032.33"
15,"44,302.32"
2,"55,024.39"
3,"65,860.47"
4,"58,888.16"
5,"64,545.08"
6,"47,493.67"
7,"53,662.43"
8,"30,989.52"
9,"28,883.41"
